id,date,entry_time,session,pair,direction,htf_bias,mtf_phase,probability,entry_model,poi_mitigated,poi_stacked_htf,poi_unmitigated,lq_swept,well_priced,entry_price,sl_price,tp_price,sl_pips,entry_candle_size,risk_pct,exit_price,exit_reason,result_r,max_r,mae_r,entry_news,mgmt_news,screenshot,notes
T0016,2025-02-07,14:35,NY,EURUSD,SHORT,BULL,C,MED,LC-2A,True,False,True,True,False,,,,24.9,4.6,0.5,,SL,-1.0,0.38,-0.27,,,,
T0017,2025-02-10,8:50,LDN,EURUSD,SHORT,BEAR,RANGE,MED,LC-2A,True,True,False,True,False,,,,10.6,8.0,0.5,,SL,-1.0,0.73,-0.38,,,,
T0018,2025-02-12,7:50,LDN_LULL,GBPUSD,LONG,BULL,A2,HIGH,LC-1,True,False,False,False,True,,,,15.9,3.6,0.5,,SL,-1.0,0.07,-0.7,,,,
T0019,2025-02-14,12:20,NY,GBPUSD,SHORT,BULL,C,LOW,PBL,True,True,False,True,False,,,,25.0,3.6,0.5,,SL,-1.0,0.03,-0.08,,,,
T0020,2025-02-17,9:50,LDN_LULL,EURUSD,LONG,BULL,A,HIGH,PBL,True,False,False,True,True,,,,16.2,7.6,0.5,,SL,-1.0,1.13,-0.48,,,,
T0021,2025-02-18,9:05,LDN,EURUSD,LONG,BEAR,A2,HIGH,LC-2A,True,True,True,True,False,,,,8.3,5.9,0.5,,SL,-1.0,0.98,-0.8,,,,
T0022,2025-02-20,14:20,LDN_LULL,GBPUSD,LONG,BULL,C,MED,EARLY,True,True,False,False,True,,,,20.7,2.3,0.5,,SL,-1.0,1.2,-0.34,,,,
T0023,2025-02-24,7:35,LDN_LULL,GBPUSD,SHORT,BULL,C,HIGH,LC-1,True,True,False,True,True,,,,12.8,4.0,0.5,,TP,3.0,3.76,-0.25,,,,
T0024,2025-02-25,13:05,LDN_LULL,EURUSD,SHORT,BEAR,A,HIGH,LC-1,True,False,True,False,False,,,,10.6,2.9,0.5,,SL,-1.0,1.61,-0.71,,,,
T0025,2025-02-28,8:05,NY,GBPUSD,LONG,BULL,C,MED,LC-1,True,False,True,False,False,,,,19.1,6.2,0.5,,TP,3.0,5.07,-0.03,,,,
T0026,2025-03-03,7:20,LDN_LULL,GBPUSD,LONG,BEAR,C,MED,EARLY,True,False,False,True,True,,,,8.9,6.0,0.5,,SL,-1.0,0.12,-0.66,,,,
T0027,2025-03-05,14:50,LDN_LULL,GBPUSD,LONG,BEAR,C,HIGH,PBL,True,False,True,True,False,,,,12.2,3.2,0.5,,SL,-1.0,1.08,-0.3,,,,
T0028,2025-03-07,7:20,NY,GBPUSD,SHORT,BEAR,C,MED,LC-2A,True,False,True,True,False,,,,25.5,3.2,0.5,,SL,-1.0,1.76,-0.84,,,,
T0029,2025-03-10,12:20,LDN,EURUSD,LONG,BULL,A2,MED,LC-2A,True,False,True,True,False,,,,25.9,5.8,0.5,,SL,-1.0,0.5,-0.1,,,,
T0030,2025-03-12,12:50,LDN_LULL,GBPUSD,LONG,BEAR,A,MED,PBL,True,True,True,False,True,,,,8.1,6.5,0.5,,TP,3.0,10.55,-0.11,,,,
T0031,2025-03-13,13:05,LDN_LULL,GBPUSD,SHORT,BULL,C,HIGH,PBL,True,True,True,True,False,,,,15.1,2.9,0.5,,TP,3.0,11.74,-0.39,,,,
T0032,2025-03-17,14:50,NY,EURUSD,LONG,BULL,A,LOW,LC-2A,True,False,True,True,True,,,,22.6,7.2,0.5,,SL,-1.0,0.87,-0.82,,,,
T0033,2025-03-18,14:35,LDN_LULL,EURUSD,SHORT,BEAR,A,HIGH,LC-2A,True,False,True,True,True,,,,21.3,3.2,0.5,,TP,3.0,11.15,-0.45,,,,
T0034,2025-03-19,8:05,LDN,GBPUSD,LONG,BEAR,B,MED,LC-2A,True,True,True,True,False,,,,17.9,6.5,0.5,,SL,-1.0,0.74,-0.37,,,,
T0035,2025-03-20,8:20,LDN,GBPUSD,LONG,BEAR,B,HIGH,LC-2A,True,True,True,False,False,,,,25.4,7.2,0.5,,TP,3.0,3.2,-0.03,,,,
T0036,2025-03-24,13:50,LDN_LULL,EURUSD,LONG,BULL,RANGE,HIGH,LC-2A,True,True,True,True,False,,,,24.7,6.3,0.5,,SL,-1.0,1.17,-0.69,,,,
T0037,2025-03-27,7:35,LDN,GBPUSD,SHORT,BULL,A,HIGH,LC-1,True,True,True,False,True,,,,18.2,3.6,0.5,,TP,3.0,10.11,-0.0,,,,
T0038,2025-03-31,13:20,NY,EURUSD,LONG,BEAR,RANGE,MED,LC-2A,True,False,True,True,True,,,,12.4,6.0,0.5,,SL,-1.0,0.76,-0.23,,,,
T0039,2025-04-03,14:50,LDN,EURUSD,SHORT,BULL,RANGE,HIGH,LC-2A,True,True,False,True,False,,,,15.6,3.4,0.5,,SL,-1.0,0.4,-0.68,,,,
T0040,2025-04-07,14:05,NY,EURUSD,SHORT,BULL,A,MED,LC-1,True,True,False,True,True,,,,16.7,2.4,0.5,,SL,-1.0,0.71,-0.81,,,,
T0041,2025-04-09,13:50,LDN,GBPUSD,SHORT,BEAR,C,LOW,EARLY,True,False,True,True,True,,,,11.3,2.5,0.5,,SL,-1.0,0.76,-0.8,,,,
T0042,2025-04-10,14:50,LDN,GBPUSD,SHORT,BULL,B,MED,LC-1,True,True,False,True,False,,,,9.6,3.5,0.5,,SL,-1.0,1.13,-0.36,,,,
T0043,2025-04-14,13:35,LDN_LULL,GBPUSD,SHORT,BULL,A,LOW,LC-2A,True,True,False,True,True,,,,21.5,2.0,0.5,,TP,3.0,9.8,-0.82,,,,
T0044,2025-04-15,12:35,LDN_LULL,GBPUSD,LONG,BEAR,A,MED,LC-2A,True,True,False,False,False,,,,25.2,6.6,0.5,,SL,-1.0,1.09,-0.3,,,,
T0045,2025-04-17,8:20,LDN_LULL,EURUSD,LONG,BEAR,B,MED,LC-1,True,False,True,False,False,,,,15.1,7.9,0.5,,SL,-1.0,0.48,-0.08,,,,
T0046,2025-04-18,12:20,NY,EURUSD,SHORT,BEAR,B,LOW,EARLY,True,True,True,True,True,,,,10.4,4.6,0.5,,SL,-1.0,0.33,-0.21,,,,
T0047,2025-04-21,13:20,NY,EURUSD,SHORT,BULL,D,MED,LC-2A,True,True,True,False,False,,,,25.9,7.5,0.5,,SL,-1.0,0.07,-0.26,,,,
T0048,2025-04-22,13:20,LDN_LULL,GBPUSD,LONG,BULL,A,LOW,LC-1,True,False,False,True,True,,,,9.4,4.0,0.5,,TP,3.0,3.4,-0.9,,,,
T0049,2025-04-23,14:35,LDN,GBPUSD,LONG,BULL,C,HIGH,LC-1,True,True,True,True,True,,,,13.9,6.8,0.5,,TP,3.0,8.98,-0.14,,,,
T0050,2025-04-24,12:05,LDN_LULL,GBPUSD,SHORT,BEAR,C,HIGH,LC-2A,True,True,False,False,False,,,,20.0,4.3,0.5,,SL,-1.0,0.73,-0.85,,,,
T0051,2025-04-28,12:20,LDN,EURUSD,LONG,BULL,RANGE,LOW,LC-2A,True,False,False,True,False,,,,23.9,4.2,0.5,,SL,-1.0,0.91,-0.13,,,,
T0052,2025-04-30,8:35,LDN,EURUSD,SHORT,BEAR,A,HIGH,LC-2A,True,True,False,True,False,,,,21.6,5.7,0.5,,TP,3.0,10.42,-0.14,,,,
T0053,2025-05-01,7:50,NY,EURUSD,SHORT,BEAR,C,HIGH,LC-1,True,True,True,False,False,,,,18.2,2.2,0.5,,SL,-1.0,1.01,-0.68,,,,
T0054,2025-05-02,9:50,LDN_LULL,EURUSD,SHORT,BEAR,C,MED,LC-2A,True,False,True,True,True,,,,23.3,5.7,0.5,,SL,-1.0,0.88,-0.21,,,,
T0055,2025-05-05,9:05,LDN_LULL,EURUSD,LONG,BULL,D,MED,PBL,True,True,False,False,True,,,,14.5,2.3,0.5,,TP,3.0,7.54,-0.34,,,,
T0056,2025-05-06,8:50,LDN_LULL,EURUSD,LONG,BULL,A,MED,LC-2A,True,False,False,True,True,,,,10.0,5.7,0.5,,SL,-1.0,1.63,-0.41,,,,
T0057,2025-05-08,9:35,LDN,EURUSD,LONG,BEAR,B,HIGH,PBL,True,True,False,True,False,,,,17.1,3.0,0.5,,TP,3.0,10.06,-0.1,,,,
T0058,2025-05-09,7:35,NY,GBPUSD,SHORT,BEAR,C,LOW,LC-2A,True,True,True,True,True,,,,18.4,2.5,0.5,,SL,-1.0,0.41,-0.55,,,,
T0059,2025-05-12,14:35,NY,EURUSD,LONG,BULL,A2,MED,LC-2A,True,True,False,True,True,,,,23.7,7.4,0.5,,SL,-1.0,0.24,-0.2,,,,
T0060,2025-05-13,8:50,NY,GBPUSD,LONG,BULL,A,MED,LC-2A,True,True,False,True,True,,,,14.4,6.8,0.5,,TP,3.0,9.37,-0.41,,,,
T0061,2025-05-14,7:05,NY,GBPUSD,SHORT,BEAR,C,MED,PBL,True,True,False,True,True,,,,12.8,4.4,0.5,,SL,-1.0,0.43,-0.05,,,,
T0062,2025-05-15,13:50,NY,EURUSD,SHORT,BULL,A,LOW,LC-2A,True,True,True,False,False,,,,11.6,6.3,0.5,,TP,3.0,3.06,-0.76,,,,
T0063,2025-05-19,14:05,LDN,GBPUSD,SHORT,BULL,A,HIGH,LC-1,True,True,True,True,False,,,,12.7,5.1,0.5,,SL,-1.0,0.48,-0.58,,,,
T0064,2025-05-20,8:20,NY,GBPUSD,LONG,BEAR,A,HIGH,LC-2A,True,True,True,False,False,,,,23.2,6.2,0.5,,SL,-1.0,1.2,-0.88,,,,
T0065,2025-05-23,8:35,LDN,GBPUSD,LONG,BULL,B,HIGH,LC-2A,True,True,True,True,False,,,,25.2,4.1,0.5,,TP,3.0,4.28,-0.03,,,,
T0066,2025-05-26,13:35,LDN,EURUSD,SHORT,BULL,A,HIGH,LC-1,True,True,True,True,False,,,,8.8,7.5,0.5,,TP,3.0,9.78,-0.08,,,,
T0067,2025-05-28,9:50,LDN_LULL,EURUSD,SHORT,BEAR,B,MED,LC-2A,True,False,True,False,False,,,,13.3,6.6,0.5,,SL,-1.0,1.08,-0.43,,,,
T0068,2025-05-30,9:50,NY,EURUSD,LONG,BULL,C,MED,LC-2A,True,False,True,True,True,,,,21.9,3.7,0.5,,SL,-1.0,1.35,-0.05,,,,
T0069,2025-06-02,9:35,NY,EURUSD,SHORT,BULL,B,MED,LC-2A,True,False,True,True,False,,,,16.9,6.6,0.5,,TP,3.0,7.41,-0.89,,,,
T0070,2025-06-03,7:50,NY,EURUSD,SHORT,BULL,C,MED,LC-2A,True,True,True,True,True,,,,24.0,7.9,0.5,,TP,3.0,8.68,-0.85,,,,
T0071,2025-06-04,9:20,LDN_LULL,GBPUSD,LONG,BEAR,C,MED,LC-1,True,False,False,True,True,,,,14.3,4.8,0.5,,SL,-1.0,1.59,-0.21,,,,
T0072,2025-06-05,8:35,NY,GBPUSD,LONG,BULL,A2,LOW,LC-1,True,True,True,False,False,,,,21.0,2.6,0.5,,SL,-1.0,1.73,-0.09,,,,
T0073,2025-06-09,7:05,LDN_LULL,EURUSD,SHORT,BEAR,A,MED,LC-2A,True,True,True,False,False,,,,12.9,5.0,0.5,,TP,3.0,8.69,-0.42,,,,
T0074,2025-06-10,14:50,LDN,EURUSD,LONG,BULL,A2,HIGH,LC-1,True,False,True,True,True,,,,23.4,4.5,0.5,,TP,3.0,10.04,-0.64,,,,
T0075,2025-06-11,14:20,NY,GBPUSD,LONG,BEAR,A2,MED,LC-2A,True,False,False,True,True,,,,15.4,3.3,0.5,,SL,-1.0,1.29,-0.86,,,,
T0076,2025-06-12,13:05,NY,GBPUSD,SHORT,BEAR,B,MED,LC-2A,True,False,True,False,True,,,,20.9,5.1,0.5,,SL,-1.0,1.68,-0.66,,,,
T0077,2025-06-16,12:35,NY,GBPUSD,LONG,BULL,C,MED,LC-2A,True,True,True,False,False,,,,9.4,8.0,0.5,,TP,3.0,11.65,-0.42,,,,
T0078,2025-06-17,13:20,LDN,GBPUSD,SHORT,BEAR,A,LOW,LC-1,True,False,False,True,False,,,,16.4,4.8,0.5,,SL,-1.0,1.41,-0.21,,,,
T0079,2025-06-20,9:35,LDN,GBPUSD,SHORT,BEAR,C,MED,EARLY,True,False,False,True,False,,,,22.5,2.9,0.5,,SL,-1.0,0.55,-0.35,,,,
T0080,2025-06-23,14:05,NY,EURUSD,LONG,BULL,D,MED,PBL,True,False,True,True,True,,,,23.0,3.4,0.5,,SL,-1.0,1.4,-0.31,,,,
T0081,2025-06-24,7:35,LDN,GBPUSD,LONG,BULL,A,MED,LC-2A,True,False,True,False,True,,,,20.4,3.6,0.5,,SL,-1.0,0.42,-0.13,,,,
T0082,2025-06-27,8:05,LDN,GBPUSD,SHORT,BEAR,C,LOW,LC-2A,True,False,False,True,True,,,,12.4,7.8,0.5,,SL,-1.0,0.14,-0.57,,,,
T0083,2025-06-30,7:50,LDN_LULL,EURUSD,LONG,BULL,A,MED,LC-2A,True,False,False,True,False,,,,22.6,4.2,0.5,,SL,-1.0,0.85,-0.47,,,,
T0084,2025-07-01,9:50,LDN_LULL,GBPUSD,SHORT,BEAR,A2,HIGH,LC-2A,True,False,False,False,True,,,,13.2,3.9,0.5,,TP,3.0,5.69,-0.53,,,,
T0085,2025-07-02,7:50,LDN_LULL,EURUSD,LONG,BULL,C,MED,LC-2A,True,True,False,True,False,,,,17.8,6.7,0.5,,SL,-1.0,1.64,-0.55,,,,
T0086,2025-07-03,14:50,NY,EURUSD,LONG,BULL,C,MED,LC-1,True,False,True,True,False,,,,11.8,2.1,0.5,,SL,-1.0,1.57,-0.12,,,,
T0087,2025-07-07,12:05,LDN_LULL,EURUSD,LONG,BEAR,C,MED,LC-2A,True,False,False,True,True,,,,13.7,4.3,0.5,,TP,3.0,8.33,-0.84,,,,
T0088,2025-07-08,8:05,LDN_LULL,EURUSD,LONG,BULL,B,HIGH,LC-2A,True,False,False,True,True,,,,11.8,4.8,0.5,,SL,-1.0,0.5,-0.51,,,,
T0089,2025-07-11,8:05,LDN_LULL,GBPUSD,SHORT,BEAR,C,HIGH,LC-2A,True,False,True,True,True,,,,20.8,7.3,0.5,,SL,-1.0,1.24,-0.56,,,,
T0090,2025-07-14,7:35,LDN_LULL,GBPUSD,SHORT,BULL,A2,HIGH,LC-1,True,True,False,True,False,,,,16.8,5.8,0.5,,SL,-1.0,0.75,-0.35,,,,
T0091,2025-07-17,14:35,NY,EURUSD,LONG,BEAR,RANGE,MED,LC-1,True,False,False,True,True,,,,9.1,4.3,0.5,,SL,-1.0,1.39,-0.21,,,,
T0092,2025-07-21,7:35,LDN,EURUSD,SHORT,BEAR,A2,HIGH,LC-2A,True,True,True,True,False,,,,18.6,3.2,0.5,,SL,-1.0,1.35,-0.84,,,,
T0093,2025-07-22,13:05,LDN_LULL,GBPUSD,LONG,BEAR,A2,MED,LC-2A,True,False,True,True,False,,,,24.7,7.3,0.5,,SL,-1.0,0.94,-0.43,,,,
T0094,2025-07-23,13:35,LDN_LULL,EURUSD,LONG,BULL,A,HIGH,LC-2A,True,False,True,False,True,,,,14.5,4.8,0.5,,SL,-1.0,0.15,-0.28,,,,
T0095,2025-07-24,13:50,NY,EURUSD,SHORT,BEAR,A2,HIGH,LC-2A,True,False,False,False,False,,,,25.8,7.8,0.5,,TP,3.0,5.29,-0.03,,,,
T0096,2025-07-25,14:50,LDN_LULL,EURUSD,SHORT,BULL,RANGE,HIGH,LC-2A,True,False,True,True,True,,,,14.7,2.5,0.5,,TP,3.0,11.29,-0.46,,,,
T0097,2025-07-28,7:35,LDN_LULL,EURUSD,LONG,BULL,B,LOW,LC-2A,True,True,True,False,False,,,,12.0,4.9,0.5,,SL,-1.0,0.18,-0.29,,,,
T0098,2025-07-29,7:50,LDN_LULL,GBPUSD,SHORT,BEAR,RANGE,HIGH,LC-1,True,True,True,True,True,,,,21.6,2.9,0.5,,SL,-1.0,1.22,-0.01,,,,
T0099,2025-07-30,9:20,LDN_LULL,EURUSD,SHORT,BULL,C,LOW,LC-2A,True,False,True,True,False,,,,19.1,4.9,0.5,,TP,3.0,8.65,-0.13,,,,
T0100,2025-07-31,8:35,LDN_LULL,GBPUSD,LONG,BULL,C,MED,LC-2A,True,True,True,True,False,,,,15.9,3.6,0.5,,SL,-1.0,0.2,-0.41,,,,
T0101,2025-08-04,8:50,LDN_LULL,EURUSD,SHORT,BULL,A,HIGH,EARLY,True,False,True,True,True,,,,20.0,3.4,0.5,,SL,-1.0,0.7,-0.37,,,,
T0102,2025-08-05,13:35,NY,EURUSD,SHORT,BULL,A,HIGH,LC-1,True,False,False,True,True,,,,8.3,2.2,0.5,,SL,-1.0,0.74,-0.25,,,,
T0103,2025-08-06,7:05,NY,GBPUSD,SHORT,BULL,A,MED,LC-2A,True,True,False,False,False,,,,11.5,5.5,0.5,,SL,-1.0,0.36,-0.06,,,,
T0104,2025-08-11,14:50,LDN,EURUSD,SHORT,BEAR,D,MED,PBL,True,True,False,True,True,,,,13.1,7.9,0.5,,SL,-1.0,0.07,-0.63,,,,
T0105,2025-08-12,8:35,NY,GBPUSD,LONG,BEAR,B,LOW,EARLY,True,False,False,True,True,,,,14.4,5.2,0.5,,TP,3.0,7.84,-0.02,,,,
T0106,2025-08-13,7:05,LDN,EURUSD,SHORT,BULL,A,HIGH,LC-2A,True,False,False,True,True,,,,22.7,4.7,0.5,,TP,3.0,6.16,-0.08,,,,
T0107,2025-08-14,7:05,LDN_LULL,EURUSD,LONG,BULL,A,MED,LC-2A,True,True,True,False,True,,,,13.0,7.0,0.5,,SL,-1.0,1.69,-0.35,,,,
T0108,2025-08-18,9:35,LDN_LULL,EURUSD,SHORT,BEAR,C,HIGH,LC-1,True,False,True,False,True,,,,8.9,4.4,0.5,,SL,-1.0,1.01,-0.29,,,,
T0109,2025-08-19,9:05,NY,EURUSD,LONG,BEAR,RANGE,HIGH,EARLY,True,False,True,True,True,,,,19.4,7.8,0.5,,SL,-1.0,1.4,-0.84,,,,
T0110,2025-08-20,9:35,NY,EURUSD,LONG,BEAR,C,LOW,PBL,True,True,True,True,True,,,,19.5,2.7,0.5,,TP,3.0,6.13,-0.15,,,,
T0111,2025-08-21,13:20,LDN_LULL,EURUSD,LONG,BEAR,C,MED,EARLY,True,False,True,True,False,,,,16.4,6.4,0.5,,TP,3.0,5.58,-0.41,,,,
T0112,2025-08-22,13:50,LDN_LULL,GBPUSD,LONG,BULL,C,MED,LC-2A,True,True,True,True,False,,,,17.9,4.4,0.5,,SL,-1.0,1.66,-0.15,,,,
T0113,2025-08-25,7:05,LDN,EURUSD,SHORT,BEAR,A2,HIGH,LC-2A,True,False,True,False,True,,,,11.9,6.6,0.5,,SL,-1.0,0.94,-0.89,,,,
T0114,2025-08-26,9:05,NY,GBPUSD,SHORT,BULL,B,HIGH,LC-1,True,False,True,True,True,,,,19.0,2.7,0.5,,TP,3.0,6.58,-0.89,,,,
T0115,2025-08-27,12:50,LDN_LULL,GBPUSD,SHORT,BEAR,B,LOW,LC-1,True,True,True,True,True,,,,14.8,6.7,0.5,,SL,-1.0,1.53,-0.45,,,,
T0116,2025-09-01,8:05,LDN_LULL,GBPUSD,LONG,BEAR,A2,LOW,LC-2A,True,True,True,False,True,,,,14.8,2.3,0.5,,SL,-1.0,1.02,-0.45,,,,
T0117,2025-09-03,12:50,LDN_LULL,EURUSD,SHORT,BEAR,C,MED,EARLY,True,False,False,True,True,,,,20.3,4.2,0.5,,SL,-1.0,0.72,-0.51,,,,
T0118,2025-09-04,13:35,NY,EURUSD,LONG,BEAR,D,MED,EARLY,True,True,False,False,True,,,,19.2,2.7,0.5,,SL,-1.0,1.61,-0.62,,,,
T0119,2025-09-08,12:20,LDN,EURUSD,SHORT,BULL,C,LOW,LC-2A,True,False,True,True,False,,,,24.1,5.3,0.5,,TP,3.0,11.25,-0.36,,,,
T0120,2025-09-09,9:20,NY,EURUSD,SHORT,BULL,C,HIGH,LC-1,True,True,True,True,True,,,,18.0,2.5,0.5,,SL,-1.0,1.71,-0.44,,,,
